#  H2 - NNLOopt data
#    H2E  Nmax      hw   UVeff    Leff
#=====================================
 -2.2246   140   6.764 1350.00  41.949
 -2.2246   150   6.323 1350.00  44.873
 -2.2246   160   5.936 1350.00  47.796
 -2.2246   170   5.594 1350.00  50.720
 -2.2246   180   5.289 1350.00  53.643
 -2.2246   190   5.016 1350.00  56.567
 -2.2246   200   4.769 1350.00  59.490
 -2.2246   210   4.546 1350.00  62.413
 -2.2246   220   4.342 1350.00  65.337
 -2.2246   230   4.156 1350.00  68.260
 -2.2246   240   3.986 1350.00  71.184
 -2.2246   250   3.829 1350.00  74.107
#
  0.1698    10  77.613 1400.00   3.791
 -1.9953    20  44.471 1400.00   6.616
 -2.1925    30  31.176 1400.00   9.438
 -2.2197    40  24.003 1400.00  12.258
 -2.2238    50  19.514 1400.00  15.078
 -2.2245    60  16.440 1400.00  17.897
 -2.2246    70  14.203 1400.00  20.717
 -2.2246    80  12.501 1400.00  23.536
 -2.2246    90  11.164 1400.00  26.355
 -2.2246   100  10.085 1400.00  29.175
 -2.2246   110   9.197 1400.00  31.994
 -2.2246   120   8.452 1400.00  34.813
 -2.2246   130   7.819 1400.00  37.632
 -2.2246   140   7.274 1400.00  40.451
 -2.2246   150   6.800 1400.00  43.270
 -2.2246   160   6.384 1400.00  46.089
 -2.2246   170   6.016 1400.00  48.908
 -2.2246   180   5.688 1400.00  51.727
 -2.2246   190   5.394 1400.00  54.546
 -2.2246   200   5.129 1400.00  57.365
 -2.2246   210   4.889 1400.00  60.184
 -2.2246   220   4.670 1400.00  63.003
 -2.2246   230   4.470 1400.00  65.822
 -2.2246   240   4.287 1400.00  68.641
 -2.2246   250   4.117 1400.00  71.461
#
  0.5202    10  83.256 1450.00   3.660
 -1.9536    20  47.704 1450.00   6.388
 -2.1846    30  33.443 1450.00   9.112
 -2.2181    40  25.748 1450.00  11.835
 -2.2235    50  20.933 1450.00  14.558
 -2.2244    60  17.635 1450.00  17.280
 -2.2246    70  15.235 1450.00  20.002
 -2.2246    80  13.410 1450.00  22.725
 -2.2246    90  11.976 1450.00  25.447
 -2.2246   100  10.818 1450.00  28.169
 -2.2246   110   9.865 1450.00  30.891
 -2.2246   120   9.066 1450.00  33.612
 -2.2246   130   8.387 1450.00  36.334
 -2.2246   140   7.803 1450.00  39.056
 -2.2246   150   7.294 1450.00  41.778
 -2.2246   160   6.848 1450.00  44.500
 -2.2246   170   6.453 1450.00  47.222
 -2.2246   180   6.102 1450.00  49.944
 -2.2246   190   5.786 1450.00  52.665
 -2.2246   200   5.502 1450.00  55.387
 -2.2246   210   5.244 1450.00  58.109
 -2.2246   220   5.010 1450.00  60.831
 -2.2246   230   4.795 1450.00  63.553
 -2.2246   240   4.598 1450.00  66.275
 -2.2246   250   4.417 1450.00  68.996
#
  0.8951    10  89.097 1500.00   3.538
 -1.9073    20  51.051 1500.00   6.175
 -2.1754    30  35.789 1500.00   8.809
 -2.2161    40  27.555 1500.00  11.441
 -2.2231    50  22.401 1500.00  14.073
 -2.2243    60  18.872 1500.00  16.704
 -2.2245    70  16.304 1500.00  19.336
 -2.2246    80  14.351 1500.00  21.967
 -2.2246    90  12.816 1500.00  24.598
 -2.2246   100  11.577 1500.00  27.230
 -2.2246   110  10.557 1500.00  29.861
 -2.2246   120   9.702 1500.00  32.492
 -2.2246   130   8.976 1500.00  35.123
 -2.2246   140   8.350 1500.00  37.754
 -2.2246   150   7.806 1500.00  40.385
 -2.2246   160   7.329 1500.00  43.017
 -2.2246   170   6.906 1500.00  45.648
 -2.2246   180   6.530 1500.00  48.279
 -2.2246   190   6.192 1500.00  50.910
 -2.2246   200   5.888 1500.00  53.541
 -2.2246   210   5.612 1500.00  56.172
 -2.2246   220   5.361 1500.00  58.803
 -2.2246   230   5.131 1500.00  61.434
 -2.2246   240   4.921 1500.00  64.065
 -2.2246   250   4.727 1500.00  66.696
#
